"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","This is a failing test","FAILURE","2020-05-06T11:24:54.424+05:30[Asia/Calcutta]","0.0","9.61"
"Serenity id info","This is a skipped test","IGNORED","2020-05-06T11:25:05.359+05:30[Asia/Calcutta]","0.0","0.79"
"Serenity id info","This is a pending test","PENDING","2020-05-06T11:25:06.154+05:30[Asia/Calcutta]","0.0","0.62"
"Serenity id info","This is a manual test","PENDING","2020-05-06T11:25:06.774+05:30[Asia/Calcutta]","0.0","0.62"
"Serenity id info","This is a test with error","ERROR","2020-05-06T11:25:07.393+05:30[Asia/Calcutta]","0.0","0.46"
"Serenity id info","File does not exist","COMPROMISED","2020-05-06T11:25:07.873+05:30[Asia/Calcutta]","0.0","0.58"
"Serenity id info","Get all students","SUCCESS","2020-05-06T11:25:08.467+05:30[Asia/Calcutta]","0.0","0.55"
