"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","This is a failing test","FAILURE","2020-05-06T11:24:54.424+05:30[Asia/Calcutta]","0.0","9.61"
"Serenity id info","This is a test with error","ERROR","2020-05-06T11:25:07.393+05:30[Asia/Calcutta]","0.0","0.46"
"First serenity test","This is a failing test","FAILURE","2020-05-06T11:25:13.868+05:30[Asia/Calcutta]","0.0","1.11"
"First serenity test","This test will get all the information from the Student App","FAILURE","2020-05-06T11:25:15.912+05:30[Asia/Calcutta]","0.0","0.72"
"First serenity test","This is a test with error","ERROR","2020-05-06T11:25:18.015+05:30[Asia/Calcutta]","0.0","0.74"
