"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a failing test","FAILURE","2020-05-06T11:25:13.868+05:30[Asia/Calcutta]","0.0","1.11"
"First serenity test","This is a skipped test","IGNORED","2020-05-06T11:25:14.976+05:30[Asia/Calcutta]","0.0","0.93"
"First serenity test","This test will get all the information from the Student App","FAILURE","2020-05-06T11:25:15.912+05:30[Asia/Calcutta]","0.0","0.72"
"First serenity test","This is a pending test","PENDING","2020-05-06T11:25:16.634+05:30[Asia/Calcutta]","0.0","0.67"
"First serenity test","This is a manual test","PENDING","2020-05-06T11:25:17.309+05:30[Asia/Calcutta]","0.0","0.71"
"First serenity test","This is a test with error","ERROR","2020-05-06T11:25:18.015+05:30[Asia/Calcutta]","0.0","0.74"
"First serenity test","File does not exist","COMPROMISED","2020-05-06T11:25:18.755+05:30[Asia/Calcutta]","0.0","0.72"
"First serenity test","Get all students","SUCCESS","2020-05-06T11:25:19.478+05:30[Asia/Calcutta]","0.0","0.74"
